Sample	Number_Input_Reads	Average_Mapped_Length	Number_Unique_Mapped	Percent_Unique_Mapped	Number_Multi_Mapped	Percent_Multi_Mapped	Number_Too_Many_Multi_Mapped	Percent_Too_Many_Multi_Mapped	Percent_Unmapped_Mismatches	Percent_Unmapped_Too_Short	Percent_Unmapped_Other	Number_Chimeric_Reads	Percent_Chimeric_Reads
05-11-Final-8ul	35529777	192.12	23992057	67.53	4703604	13.24	47376	0.13	0.00	19.10	0.00	0	0.00
5	26420166	189.99	16983555	64.28	3944437	14.93	36307	0.14	0.00	20.65	0.00	0	0.00
6	30962315	180.81	17367049	56.09	4563665	14.74	49440	0.16	0.00	29.01	0.00	0	0.00
8	27227728	190.06	18096479	66.46	4354086	15.99	42193	0.15	0.00	17.39	0.00	0	0.00
Ae_Cho_2	20520644	180.29	11514057	56.11	3025184	14.74	42453	0.21	0.00	28.94	0.00	0	0.00
Ae_Cho_3	23694733	182.65	13541517	57.15	3970052	16.75	39218	0.17	0.00	25.93	0.00	0	0.00
Ae_Chu_2	25181563	179.68	14680316	58.30	2708509	10.76	27984	0.11	0.00	30.83	0.00	0	0.00
Ae_Gae_2	20668376	179.90	11728100	56.74	2776604	13.43	30953	0.15	0.00	29.67	0.00	0	0.00
Ae_Gae_3	19178884	178.59	10287487	53.64	3143448	16.39	46839	0.24	0.00	29.72	0.00	0	0.00
Ae_Hu_2	18349436	181.61	10112700	55.11	3056533	16.66	34078	0.19	0.00	28.04	0.00	0	0.00
Ae_Hu_3	20875769	186.58	13103887	62.77	3207801	15.37	29644	0.14	0.00	21.72	0.00	0	0.00
Ae_Yeong_2	23189402	181.19	13529714	58.34	3265679	14.08	34633	0.15	0.00	27.42	0.00	0	0.00
Ae_Yeong_3	23923621	181.44	13578260	56.76	3596720	15.03	58603	0.24	0.00	27.96	0.00	0	0.00
