80	1630
81	1964
115	1272
204	1159
212	1074
213	2376
325	1453
326	1775
328	1790
344	1599
345	2035
354	1611
358	3011
359	4039
424	1684
427	1010
455	2783
456	1585
457	1086
483	1115
548	3706
649	2614
650	2634
651	3131
670	1456
687	3879
688	2216
689	1263
703	1340
706	2590
731	1262
795	1167
815	1794
817	1021
819	1268
908	1288
942	1043
963	1076
1019	3017
1041	1329
1054	1248
1057	1295
1132	2409
1151	1061
1214	1348
1235	1953
1257	1028
1278	1260
1280	1795
1317	1491
1360	1661
1438	2962
1440	1662
1441	1246
1448	1201
1457	1529
1461	1018
1500	2627
1504	1449
1514	1278
1515	1222
1599	2524
1617	1192
1635	1974
1764	1098
1783	1309
1784	3021
1976	6337
2074	2834
2115	4964
2117	1152
2118	3005
2129	1006
2161	1358
2177	1410
2190	1656
2196	1603
2284	1057
2303	1967
2315	1238
2368	1833
2370	1613
2371	1745
2399	1041
2446	2132
2503	2065
2569	1140
2578	3543
2586	1251
2602	3821
2620	2180
2703	5585
2706	1254
2713	1483
2715	1228
2716	1379
2717	1915
2718	2415
2729	2228
2730	3698
2741	1014
2755	2572
2756	1531
2777	1531
2808	3112
2848	2816
2852	1052
2853	1067
2865	1456
2867	1568
2870	2230
2872	1220
2874	1647
2876	2646
2877	1070
2878	1431
2879	1256
2884	3278
3026	4161
3027	1557
3029	2567
3031	2082
3033	1062
3064	1483
3068	1516
3100	1937
3136	1200
3138	1220
3139	1253
3154	2035
3174	2023
3175	2114
3176	2186
3185	1825
3191	1175
3244	1251
3279	4609
3308	1725
3373	1003
3374	1893
3389	1224
3392	1140
3408	1045
3445	1894
3459	1003
3477	1201
3478	1166
3507	3415
3573	1019
3587	5045
3619	1349
3635	1075
3699	2993
3700	1859
3715	1421
3733	1638
3749	1972
3761	1134
3785	2909
3835	1473
3856	1225
3857	1175
3860	2421
3863	1030
3870	1515
3871	1710
3878	2018
3940	1308
3941	2019
3942	1654
3997	3792
3998	1291
4013	2218
4045	2678
4048	1028
4073	2583
4105	3015
4169	1585
4174	1013
4175	2290
4180	1117
4192	1489
4208	4650
4212	1073
4213	1073
4225	1050
4240	1050
4243	1405
4246	1071
4266	2949
4311	1418
4344	1263
4392	1749
4411	1102
4427	1315
4441	1175
4443	1041
4446	1101
4457	1844
4489	1346
4490	1382
4504	3070
4535	2095
4634	4335
4687	3506
4688	3018
4689	3456
4757	1170
4759	3398
4763	3139
4788	2019
4823	2607
4825	2762
4826	2563
4873	2065
4888	1859
4928	1161
4930	1299
4931	1276
4941	2560
4943	1071
4945	1133
4959	2336
4960	1547
4961	1483
4964	1455
4965	1899
4970	1812
4986	1108
5027	3736
5029	1082
5043	1053
5069	1174
5123	1259
5125	1261
5127	1232
5139	1053
5174	1165
5189	1901
5192	1524
5203	3848
5219	2321
5235	1011
5236	1390
5251	4238
5267	1385
5290	1280
5299	1222
5333	1252
5335	1476
5336	1017
5429	1240
5445	2112
5446	1142
5448	1327
5450	1421
5461	7672
5499	1607
5536	1055
5546	1156
5550	1389
5590	1502
5597	2446
5620	1683
5637	1607
5651	1131
5668	1695
5669	4310
5670	1666
5671	1391
5673	2706
5674	1175
5675	1094
5686	1125
5691	8870
5716	1704
5761	1456
5785	1017
5796	1156
5844	1719
5846	2654
5849	3498
5850	3530
5861	1132
5873	2334
5897	1192
5909	1058
5912	1223
5925	1412
5926	1377
5927	1375
5929	1978
5943	1019
5962	1604
5963	1308
5964	1749
5974	2464
5976	2539
5985	4832
5987	1302
5990	1400
5997	1773
5999	2822
6002	3061
6010	4836
6012	3382
6013	3780
6101	2346
6114	1026
6118	1184
6126	1239
6138	1144
6152	1205
6159	1087
6162	1514
6163	3143
6176	2536
6201	1009
6214	3578
6215	3521
6216	1089
6219	1988
6220	2130
6228	1212
6229	1904
6239	1910
6240	3984
6254	1678
6266	1774
6278	1347
6279	1269
6280	1586
6291	1901
6292	3292
6303	1817
6348	2157
6350	1024
6351	1111
6361	1076
6363	2793
6366	2742
6372	2260
6373	2276
6387	6148
6426	1409
6427	1696
6463	1171
6476	1712
6479	2618
6493	1342
6516	2404
6528	3519
6541	1243
6544	1132
6545	1690
